#         t       sigx       sigy       sigz        mbx        mby        mbz
      6.357    147.781    164.459    170.237      8.161     13.064     15.208
      6.429    149.434    164.499    178.634      8.570     13.078     18.796
      6.500    152.200    161.759    177.658      9.291     12.146     18.348
      6.571    156.823    163.537    179.278     10.598     12.745     19.096
      6.643    155.915    153.972    182.594     10.331      9.776     20.700
      6.714    158.884    151.905    185.736     11.225      9.212     22.314
      6.786    157.716    153.990    182.316     10.866      9.781     20.562
      6.857    154.332    153.338    183.634      9.877      9.600     21.224
      6.929    155.805    155.227    185.601     10.299     10.132     22.243
      7.000    155.147    154.320    182.725     10.109      9.874     20.765
      7.071    159.118    159.081    184.853     11.298     11.286     21.850
      7.143    161.118    162.576    184.139     11.936     12.419     21.482
      7.214    158.620    159.645    177.984     11.143     11.463     18.497
      7.286    159.096    156.082    177.234     11.291     10.380     18.156
      7.357    158.915    153.536    174.425     11.235      9.655     16.924
      7.429    160.142    156.662    176.367     11.621     10.550     17.769
      7.500    162.325    156.961    174.841     12.335     10.639     17.102
      7.571    157.799    159.086    173.253     10.892     11.288     16.429
      7.643    161.712    157.012    171.785     12.131     10.655     15.826
      7.714    161.099    159.784    169.889     11.930     11.507     15.071
      7.786    157.999    161.067    167.805     10.952     11.919     14.275
      7.857    165.141    161.988    170.630     13.304     12.222     15.363
      7.929    161.083    160.364    169.237     11.925     11.692     14.818
      8.000    166.105    163.284    171.223     13.649     12.658     15.599
      8.071    164.451    159.323    167.310     13.061     11.362     14.090
      8.143    166.850    159.087    170.114     13.921     11.288     15.159
      8.214    170.569    161.220    172.393     15.339     11.969     16.074
      8.286    160.480    155.351    172.083     11.729     10.167     15.947
      8.357    164.117    158.283    169.647     12.945     11.039     14.977
      8.429    161.490    156.438    172.339     12.058     10.484     16.052
      8.500    158.933    154.617    174.718     11.240      9.958     17.050
      8.571    159.358    153.736    178.437     11.373      9.710     18.705
      8.643    159.384    153.973    176.324     11.381      9.776     17.750
      8.714    158.133    154.979    176.001     10.993     10.061     17.607
      8.786    158.358    154.999    174.440     11.062     10.066     16.931
      8.857    155.590    153.029    178.584     10.236      9.515     18.773
      8.929    159.115    153.596    175.560     11.297      9.672     17.414
      9.000    158.036    155.738    176.470     10.964     10.279     17.815
      9.071    159.552    154.982    175.693     11.434     10.062     17.472
      9.143    162.417    155.135    171.734     12.365     10.105     15.805
      9.214    161.936    156.120    173.603     12.205     10.391     16.576
      9.286    161.594    153.648    171.912     12.092      9.686     15.877
      9.357    161.984    157.259    174.150     12.221     10.728     16.807
      9.429    159.640    157.148    171.620     11.462     10.695     15.759
      9.500    161.704    155.166    170.473     12.128     10.114     15.301
      9.571    162.491    156.900    170.993     12.390     10.621     15.507
      9.643    160.218    155.809    170.936     11.646     10.300     15.484
      9.714    161.226    157.814    171.252     11.971     10.896     15.611
      9.786    159.506    159.294    169.606     11.420     11.353     14.961
      9.857    158.544    155.804    173.050     11.119     10.298     16.345
      9.929    159.236    156.056    171.878     11.335     10.372     15.864
     10.000    158.690    157.785    168.667     11.165     10.887     14.600
     10.071    157.140    162.092    169.563     10.693     12.257     14.944
     10.143    156.221    158.931    169.550     10.420     11.239     14.939
     10.214    156.663    161.282    171.668     10.551     11.990     15.778
     10.286    157.870    161.325    167.403     10.913     12.004     14.125
     10.357    156.225    160.384    166.783     10.421     11.699     13.896
     10.429    161.282    162.171    168.247     11.990     12.283     14.441
     10.500    156.658    159.859    167.189     10.549     11.531     14.045
     10.571    159.764    161.728    167.393     11.501     12.136     14.121
     10.643    159.956    157.308    166.734     11.562     10.743     13.878
     10.714    162.127    156.944    165.607     12.269     10.634     13.470
     10.786    162.739    159.853    169.019     12.474     11.529     14.735
     10.857    163.226    159.352    163.639     12.639     11.371     12.780
     10.929    161.705    158.702    167.882     12.129     11.168     14.304
     11.000    159.595    157.353    165.315     11.447     10.757     13.366
     11.071    157.910    159.144    166.363     10.925     11.306     13.743
     11.143    158.758    154.715    166.244     11.186      9.986     13.700
     11.214    160.834    160.173    167.000     11.844     11.631     13.976
     11.286    157.113    157.212    168.430     10.685     10.714     14.510
     11.357    155.355    160.486    168.840     10.168     11.731     14.666
     11.429    155.814    159.050    166.413     10.301     11.276     13.761
