#         t       sigx       sigy       sigz        mbx        mby        mbz
      0.000    138.318    135.848    135.328      6.099      5.634      5.540
      0.071    137.181    136.430    135.519      5.882      5.742      5.575
      0.143    136.720    135.016    133.028      5.795      5.484      5.138
      0.214    134.570    137.471    134.692      5.405      5.937      5.427
      0.286    140.750    137.322    134.573      6.586      5.909      5.405
      0.357    139.035    138.759    135.643      6.240      6.186      5.597
      0.429    136.626    138.533    136.533      5.778      6.141      5.761
      0.500    135.520    142.505    135.103      5.575      6.955      5.500
      0.571    134.770    141.595    132.696      5.441      6.761      5.082
      0.643    134.730    139.010    136.899      5.433      6.235      5.829
      0.714    137.785    138.504    134.017      5.997      6.136      5.308
      0.786    138.531    138.666    133.100      6.141      6.167      5.150
      0.857    139.635    136.151    136.360      6.359      5.690      5.729
      0.929    136.253    137.821    135.395      5.709      6.004      5.552
      1.000    136.930    138.481    133.568      5.835      6.131      5.230
      1.071    136.685    136.500    136.994      5.789      5.755      5.847
      1.143    138.288    136.004    136.181      6.094      5.663      5.696
      1.214    139.242    133.396    136.510      6.281      5.201      5.756
      1.286    138.096    141.846    134.871      6.056      6.814      5.458
      1.357    136.832    137.474    137.016      5.816      5.937      5.851
      1.429    136.325    138.107    135.251      5.722      6.059      5.526
      1.500    138.159    135.492    134.830      6.069      5.570      5.451
      1.571    135.210    138.443    136.461      5.519      6.124      5.747
      1.643    136.230    138.730    134.571      5.705      6.180      5.405
      1.714    136.094    136.388    133.840      5.680      5.734      5.277
      1.786    133.554    135.425    134.035      5.228      5.558      5.311
      1.857    132.814    136.227    133.379      5.101      5.704      5.198
      1.929    136.483    136.848    132.864      5.751      5.819      5.110
      2.000    138.314    137.241    137.400      6.099      5.893      5.923
      2.071    135.211    137.644    133.505      5.519      5.970      5.219
      2.143    137.123    136.534    132.370      5.871      5.761      5.027
      2.214    137.531    137.056    132.499      5.948      5.858      5.049
      2.286    130.407    136.209    129.383      4.707      5.701      4.547
      2.357    135.214    136.478    135.904      5.520      5.751      5.645
      2.429    133.464    137.015    134.486      5.212      5.851      5.390
      2.500    133.488    138.980    137.741      5.216      6.229      5.988
      2.571    138.864    136.128    135.181      6.206      5.686      5.514
      2.643    136.800    135.447    132.452      5.810      5.562      5.041
      2.714    136.710    137.980    133.144      5.794      6.034      5.157
      2.786    135.872    133.463    135.297      5.639      5.212      5.535
      2.857    135.223    135.837    134.478      5.521      5.632      5.389
      2.929    135.471    137.836    131.182      5.566      6.006      4.831
      3.000    134.861    137.286    132.417      5.457      5.902      5.035
      3.071    136.213    135.749    132.967      5.702      5.617      5.127
      3.143    135.180    134.111    135.684      5.514      5.324      5.605
      3.214    135.551    132.820    134.981      5.580      5.103      5.478
      3.286    131.460    131.567    133.450      4.877      4.894      5.210
      3.357    133.506    131.215    131.708      5.220      4.837      4.917
      3.429    131.716    136.376    137.139      4.918      5.732      5.874
      3.500    134.032    133.842    131.738      5.311      5.277      4.922
      3.571    134.673    135.464    130.521      5.423      5.565      4.725
      3.643    137.432    133.841    135.917      5.929      5.277      5.647
      3.714    137.000    138.031    130.505      5.848      6.044      4.723
      3.786    134.584    137.014    134.305      5.407      5.851      5.358
      3.857    132.676    134.475    133.751      5.078      5.388      5.262
      3.929    136.086    139.386    132.136      5.678      6.309      4.988
      4.000    136.220    133.562    134.060      5.703      5.229      5.316
      4.071    134.794    139.241    134.025      5.445      6.281      5.309
      4.143    136.371    135.982    130.961      5.731      5.659      4.796
      4.214    136.857    134.243    133.531      5.821      5.347      5.224
      4.286    135.783    132.495    131.392      5.623      5.048      4.866
      4.357    133.607    132.158    129.918      5.237      4.992      4.630
      4.429    132.151    134.390    132.789      4.990      5.373      5.097
      4.500    132.323    133.301    133.704      5.019      5.184      5.254
      4.571    132.623    136.654    135.982      5.069      5.783      5.659
      4.643    133.361    133.671    134.165      5.195      5.248      5.334
      4.714    134.127    137.827    133.098      5.327      6.005      5.150
      4.786    134.790    132.407    129.788      5.444      5.033      4.610
      4.857    131.250    135.832    132.426      4.842      5.632      5.036
      4.929    136.198    133.576    131.130      5.699      5.231      4.823
      5.000    130.788    137.248    134.001      4.768      5.895      5.305
      5.071    136.315    132.296    132.970      5.720      5.015      5.128
      5.143    132.378    134.976    131.113      5.028      5.477      4.820
      5.214    135.594    132.986    130.969      5.588      5.131      4.797
      5.286    133.604    134.477    134.461      5.236      5.389      5.386
      5.357    135.498    133.405    131.575      5.571      5.202      4.895
      5.429    134.489    135.524    133.399      5.391      5.576      5.201
      5.500    135.859    134.805    133.806      5.637      5.447      5.271
      5.571    132.085    134.851    133.457      4.979      5.455      5.211
      5.643    134.567    135.154    131.618      5.404      5.509      4.902
      5.714    136.611    129.867    135.572      5.775      4.622      5.584
      5.786    133.724    134.577    132.963      5.257      5.406      5.127
      5.857    132.690    135.360    135.024      5.081      5.546      5.486
      5.929    128.314    130.532    127.098      4.384      4.727      4.204
      6.000    129.780    126.705    129.614      4.608      4.147      4.582
      6.071    129.134    132.348    130.386      4.508      5.023      4.704
      6.143    128.802    128.322    129.084      4.457      4.385      4.501
      6.214    127.091    126.744    129.154      4.203      4.152      4.511
      6.286    118.290    115.543    119.361      3.065      2.764      3.189
