#         t       sigx       sigy       sigz        mbx        mby        mbz
      0.000    131.946    138.558    136.953      4.956      6.146      5.839
      0.071    140.279    140.739    133.806      6.489      6.583      5.271
      0.143    137.760    139.219    138.797      5.992      6.276      6.193
      0.214    135.315    140.170    136.470      5.538      6.467      5.749
      0.286    136.016    137.038    134.410      5.665      5.855      5.377
      0.357    134.606    137.482    139.077      5.411      5.939      6.248
      0.429    139.526    137.086    137.976      6.337      5.864      6.033
      0.500    135.745    137.965    137.160      5.616      6.031      5.878
      0.571    138.116    138.112    135.624      6.060      6.060      5.594
      0.643    136.998    138.551    138.178      5.848      6.145      6.072
      0.714    139.647    140.196    135.849      6.362      6.472      5.635
      0.786    136.845    135.777    139.291      5.819      5.622      6.291
      0.857    136.928    140.027    138.482      5.834      6.438      6.131
      0.929    142.001    137.289    137.116      6.847      5.902      5.870
      1.000    136.903    139.443    139.431      5.830      6.321      6.318
      1.071    139.105    136.761    139.300      6.254      5.803      6.292
      1.143    136.636    139.073    138.641      5.780      6.247      6.162
      1.214    138.821    138.568    136.757      6.198      6.148      5.802
      1.286    137.521    140.260    138.118      5.946      6.485      6.061
      1.357    137.226    136.621    138.602      5.890      5.777      6.155
      1.429    136.329    138.724    139.897      5.723      6.179      6.412
      1.500    137.076    138.418    136.558      5.862      6.119      5.765
      1.571    136.679    139.946    139.765      5.788      6.422      6.385
      1.643    139.061    137.970    137.385      6.245      6.032      5.920
      1.714    141.724    140.197    141.004      6.789      6.473      6.638
      1.786    142.884    139.025    139.041      7.036      6.238      6.241
      1.857    138.099    137.253    139.673      6.057      5.896      6.367
      1.929    138.390    141.424    137.192      6.113      6.726      5.884
      2.000    136.837    139.341    139.277      5.817      6.300      6.288
      2.071    139.128    139.399    137.928      6.258      6.312      6.024
      2.143    138.247    140.387    137.670      6.086      6.511      5.975
      2.214    138.468    137.902    138.562      6.129      6.019      6.147
      2.286    137.842    139.046    139.933      6.008      6.242      6.419
      2.357    138.501    138.168    138.367      6.135      6.070      6.109
      2.429    139.298    140.146    136.999      6.292      6.462      5.848
      2.500    136.556    139.672    140.021      5.765      6.367      6.437
      2.571    140.263    138.617    136.602      6.486      6.158      5.773
      2.643    137.088    140.230    140.253      5.864      6.479      6.484
      2.714    140.035    139.097    138.391      6.440      6.252      6.114
      2.786    136.642    138.697    139.468      5.781      6.173      6.326
      2.857    138.633    137.001    139.822      6.161      5.848      6.397
      2.929    138.753    141.185    139.491      6.184      6.676      6.330
      3.000    136.806    138.530    141.277      5.812      6.141      6.695
      3.071    139.282    139.798    139.562      6.289      6.392      6.345
      3.143    137.787    139.774    140.112      5.997      6.387      6.455
      3.214    140.147    137.179    137.085      6.462      5.881      5.864
      3.286    138.548    138.791    138.068      6.144      6.192      6.051
      3.357    138.815    139.715    139.519      6.196      6.375      6.336
      3.429    138.614    137.334    136.879      6.157      5.911      5.825
      3.500    137.773    139.773    138.185      5.994      6.387      6.074
      3.571    139.939    136.601    139.770      6.420      5.773      6.386
      3.643    136.087    141.542    136.973      5.678      6.750      5.843
      3.714    141.386    139.156    139.670      6.718      6.264      6.366
      3.786    138.009    141.311    138.539      6.040      6.702      6.142
      3.857    136.765    139.278    139.452      5.804      6.288      6.323
      3.929    140.410    138.574    139.268      6.516      6.149      6.286
      4.000    140.494    140.776    141.167      6.533      6.591      6.672
      4.071    139.149    137.939    139.910      6.262      6.026      6.414
      4.143    142.184    137.218    139.394      6.886      5.889      6.311
      4.214    137.942    138.553    137.971      6.027      6.145      6.032
      4.286    140.776    142.494    138.877      6.591      6.952      6.209
      4.357    139.380    139.347    138.349      6.308      6.302      6.106
      4.429    139.396    139.243    141.087      6.311      6.281      6.655
      4.500    138.361    139.571    138.416      6.108      6.346      6.118
      4.571    139.184    137.577    138.890      6.269      5.957      6.211
      4.643    137.748    139.510    138.708      5.990      6.334      6.176
      4.714    137.896    138.828    138.237      6.018      6.199      6.084
      4.786    140.047    138.401    138.019      6.442      6.116      6.042
      4.857    137.362    138.154    139.334      5.916      6.068      6.299
      4.929    140.367    138.710    138.726      6.507      6.176      6.179
      5.000    136.692    141.924    138.223      5.790      6.831      6.081
      5.071    139.056    139.128    139.640      6.244      6.258      6.360
      5.143    138.824    137.951    138.686      6.198      6.029      6.171
      5.214    140.311    139.494    137.956      6.496      6.331      6.030
      5.286    137.606    138.415    138.000      5.963      6.118      6.038
      5.357    138.106    138.620    138.883      6.058      6.158      6.210
      5.429    137.265    139.882    138.137      5.898      6.409      6.064
      5.500    138.080    139.998    140.574      6.053      6.432      6.549
      5.571    140.066    139.613    138.602      6.446      6.355      6.155
      5.643    139.363    140.160    138.777      6.305      6.465      6.189
      5.714    137.371    142.742    140.179      5.918      7.006      6.469
      5.786    139.160    137.437    140.151      6.265      5.930      6.463
      5.857    144.359    146.979    152.575      7.362      7.968      9.392
      5.929    138.069    134.403    140.236      6.051      5.376      6.480
      6.000    136.194    134.349    136.221      5.698      5.366      5.703
      6.071    138.795    136.762    134.461      6.192      5.803      5.386
      6.143    135.215    136.104    136.447      5.520      5.682      5.745
      6.214    139.765    137.530    137.141      6.385      5.948      5.874
      6.286    128.449    124.422    125.391      4.404      3.828      3.961
