#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.061   -102.173   -117.985    -20.789    182.422    102.670
      0.200   -102.658    -83.492   -107.183    -11.156    191.201    113.363
      0.300   -103.158    -63.931    -95.239      1.152    200.017    125.527
      0.400   -102.246    -43.512    -81.994     17.089    208.354    139.360
      0.500    -99.495    -22.337    -67.282     37.933    215.157    154.898
      0.600    -94.340     -0.660    -50.953     65.167    218.388    171.676
      0.700    -86.095     20.985    -32.969     99.731    214.495    188.000
      0.800    -74.115     41.650    -13.568    139.869    198.803    200.014
      0.900    -58.199     60.047      6.557    178.464    169.139    202.487
      1.000    -38.989     75.065     26.324    205.727    131.238    192.851
      1.100    -17.768     86.344     44.780    218.703     94.335    176.284
      1.200      4.218     94.235     61.490    221.018     63.475    157.909
      1.300     26.130     99.372     76.412    217.224     39.270    140.524
      1.400     47.512    102.365     89.691    210.410     20.602    125.054
      1.500     68.147    103.703    101.522    202.297      6.149    111.571
      1.600     87.951    103.752    112.093    193.779     -5.173     99.860
      1.700    106.905    102.785    121.569    185.297    -14.163     89.647
      1.800    125.023    101.007    130.085    177.062    -21.399     80.680
      1.900    142.334     98.572    137.756    169.167    -27.293     72.744
      2.000    158.875     95.600    144.677    161.641    -32.144     65.666
      2.100    174.681     92.185    150.925    154.484    -36.173     59.305
      2.200    189.789     88.399    156.568    147.680    -39.544     53.549
      2.300    204.233     84.302    161.661    141.206    -42.382     48.307
      2.400    218.046     79.944    166.251    135.037    -44.781     43.504
      2.500    231.255     75.364    170.381    129.149    -46.817     39.082
      2.600    243.888     70.596    174.084    123.517    -48.547     34.990
      2.700    255.970     65.668    177.393    118.119    -50.018     31.186
      2.800    267.523     60.603    180.334    112.936    -51.269     27.636
      2.900    278.567     55.424    182.931    107.947    -52.329     24.310
      3.000    289.121     50.146    185.206    103.137    -53.223     21.184
      3.100    299.203     44.786    187.177     98.491    -53.973     18.237
      3.200    308.827     39.358    188.862     93.994    -54.595     15.451
      3.300    318.008     33.873    190.275     89.634    -55.104     12.808
      3.400    326.760     28.342    191.430     85.400    -55.513     10.297
      3.500    335.094     22.775    192.340     81.281    -55.831      7.904
      3.600    343.021     17.180    193.016     77.269    -56.068      5.619
      3.700    350.553     11.565    193.469     73.354    -56.230      3.433
      3.800    357.697      5.937    193.707     69.529    -56.324      1.338
      3.900    364.462      0.303    193.740     65.786    -56.357     -0.673
      4.000    370.858     -5.331    193.576     62.120    -56.332     -2.608
      4.100    376.890    -10.960    193.222     58.524    -56.253     -4.472
      4.200    382.566    -16.579    192.685     54.992    -56.125     -6.270
      4.300    387.891    -22.183    191.971     51.519    -55.950     -8.008
      4.400    392.872    -27.767    191.086     48.100    -55.732     -9.688
      4.500    397.514    -33.327    190.036     44.731    -55.471    -11.316
      4.600    401.821    -38.860    188.826     41.407    -55.171    -12.894
      4.700    405.797    -44.360    187.460     38.125    -54.833    -14.426
      4.800    409.447    -49.824    185.943     34.880    -54.458    -15.915
      4.900    412.775    -55.250    184.279     31.669    -54.048    -17.364
      5.000    415.783    -60.632    182.472     28.489    -53.603    -18.775
      5.100    418.474    -65.968    180.526     25.336    -53.124    -20.149
      5.200    420.851    -71.255    178.444     22.207    -52.613    -21.490
      5.300    422.916    -76.489    176.229     19.099    -52.069    -22.799
      5.400    424.672    -81.667    173.885     16.009    -51.492    -24.078
      5.500    426.119    -86.786    171.415     12.934    -50.883    -25.329
      5.600    427.259    -91.842    168.821      9.872    -50.242    -26.552
      5.700    428.094    -96.833    166.106      6.820    -49.569    -27.750
      5.800    428.624   -101.755    163.272      3.775    -48.863    -28.923
      5.900    428.849   -106.604    160.322      0.734    -48.124    -30.074
      6.000    428.771   -111.378    157.258     -2.305    -47.352    -31.201
      6.100    428.388   -116.073    154.083     -5.345    -46.545    -32.308
      6.200    427.701   -120.685    150.798     -8.388    -45.704    -33.395
      6.300    426.710   -125.212    147.405    -11.437    -44.826    -34.461
      6.400    425.414   -129.648    143.907    -14.495    -43.911    -35.509
      6.500    423.811   -133.992    140.304    -17.565    -42.959    -36.539
      6.600    421.900   -138.238    136.600    -20.648    -41.966    -37.551
      6.700    419.680   -142.383    132.795    -23.749    -40.932    -38.547
      6.800    417.149   -146.423    128.891    -26.869    -39.855    -39.525
      6.900    414.305   -150.352    124.890    -30.013    -38.733    -40.487
      7.000    411.145   -154.167    120.794    -33.182    -37.564    -41.433
      7.100    407.667   -157.862    116.605    -36.380    -36.345    -42.364
      7.200    403.868   -161.433    112.322    -39.611    -35.074    -43.278
      7.300    399.743   -164.874    107.950    -42.879    -33.747    -44.177
      7.400    395.290   -168.180    103.488    -46.186    -32.362    -45.059
      7.500    390.504   -171.344     98.939    -49.537    -30.914    -45.926
      7.600    385.380   -174.359     94.304    -52.936    -29.399    -46.775
      7.700    379.914   -177.220     89.584    -56.387    -27.814    -47.608
      7.800    374.100   -179.918     84.783    -59.896    -26.152    -48.423
      7.900    367.932   -182.446     79.901    -63.467    -24.408    -49.219
      8.000    361.403   -184.795     74.940    -67.106    -22.576    -49.995
      8.100    354.507   -186.956     69.903    -70.819    -20.648    -50.750
      8.200    347.235   -188.920     64.791    -74.612    -18.616    -51.483
      8.300    339.580   -190.674     59.608    -78.492    -16.472    -52.190
      8.400    331.532   -192.208     54.355    -82.466    -14.204    -52.869
      8.500    323.082   -193.508     49.035    -86.544    -11.802    -53.518
      8.600    314.218   -194.561     43.653    -90.734     -9.250    -54.132
      8.700    304.929   -195.350     38.211    -95.045     -6.535    -54.708
      8.800    295.202   -195.859     32.714    -99.489     -3.638    -55.239
      8.900    285.024   -196.068     27.166   -104.078     -0.539    -55.718
      9.000    274.379   -195.955     21.573   -108.824      2.787    -56.138
      9.100    263.250   -195.497     15.941   -113.743      6.369    -56.489
      9.200    251.621   -194.667     10.279   -118.850     10.239    -56.757
      9.300    239.470   -193.433      4.595   -124.163     14.438    -56.927
      9.400    226.777   -191.761     -1.100   -129.701     19.013    -56.977
      9.500    213.518   -189.609     -6.792   -135.483     24.022    -56.862
      9.600    199.667   -186.931    -12.464   -141.533     29.534    -56.568
      9.700    185.197   -183.673    -18.095   -147.870     35.637    -56.051
      9.800    170.077   -179.769    -23.660   -154.518     42.438    -55.254
      9.900    154.277   -175.143    -29.127   -161.494     50.071    -54.099
     10.000    137.762   -169.704    -34.457   -168.808     58.708    -52.484
     10.100    120.499   -163.341    -39.594   -176.454     68.567    -50.265
