#         t          x          y          z         vx         vy         vz
      0.000    -98.600   -119.990   -127.780    -28.430    173.920     93.230
      0.100   -101.050   -102.234   -118.017    -20.564    181.205    102.032
      0.200   -102.616    -83.743   -107.317    -10.757    188.615    111.964
      0.300   -103.072    -64.518    -95.559      1.625    195.888    123.205
      0.400   -102.118    -44.598    -82.603     17.458    202.501    135.904
      0.500    -99.350    -24.101    -68.305     37.904    207.447    150.066
      0.600    -94.238     -3.286    -52.538     64.336    208.852    165.268
      0.700    -86.131     17.330    -35.272     97.796    203.471    180.063
      0.800    -74.376     36.841    -16.714    137.308    186.736    191.086
      0.900    -58.655     53.941      2.496    177.108    155.268    193.110
      1.000    -39.454     67.334     21.237    206.915    112.599    181.715
      1.100    -18.070     76.390     38.371    220.765     68.513    160.970
      1.200      4.015     81.335     53.259    220.948     30.387    136.787
      1.300     25.695     82.866     65.758    212.639      0.243    113.191
      1.400     46.323     81.740     76.007    199.919    -22.769     91.799
      1.500     65.579     78.593     84.243    185.205    -40.176     72.916
      1.600     83.328     73.917     90.707    169.774    -53.342     56.353
      1.700     99.530     68.085     95.613    154.264    -63.305     41.783
      1.800    114.191     61.378     99.147    138.975    -70.821     28.887
      1.900    127.342     54.016    101.461    124.034    -76.429     17.388
      2.000    139.017     46.169    102.683    109.476    -80.517      7.059
      2.100    149.256     37.974    102.922     95.294    -83.365     -2.283
      2.200    158.094     29.547    102.269     81.458    -85.177    -10.783
      2.300    165.563     20.983    100.801     67.926    -86.104    -18.559
      2.400    171.692     12.365     98.588     54.655    -86.254    -25.705
      2.500    176.505      3.767     95.688     41.599    -85.711    -32.295
      2.600    180.020     -4.745     92.154     28.712    -84.534    -38.394
      2.700    182.253    -13.110     88.031     15.946    -82.766    -44.053
      2.800    183.213    -21.270     83.363      3.247    -80.435    -49.319
      2.900    182.903    -29.170     78.185     -9.441    -77.552    -54.229
      3.000    181.322    -36.753     72.533    -22.187    -74.112    -58.817
      3.100    178.459    -43.963     66.437    -35.066    -70.094    -63.109
      3.200    174.297    -50.740     59.925    -48.168    -65.447    -67.121
      3.300    168.809    -57.017     53.026    -61.593    -60.097    -70.858
      3.400    161.957    -62.719     45.768    -75.459    -53.929    -74.311
      3.500    153.689    -67.754     38.180    -89.896    -46.784    -77.449
      3.600    143.941    -72.015     30.297   -105.060    -38.435    -80.210
      3.700    132.632    -75.365     22.162   -121.127    -28.566    -82.489
      3.800    119.660    -77.629     13.833   -138.300    -16.718    -84.102
      3.900    104.905    -78.576      5.390   -156.800     -2.217    -84.744
      4.000     88.224    -77.889     -3.039   -176.829     15.962    -83.841
      4.100     69.463    -75.121    -11.235   -198.391     39.393    -80.085
      4.200     48.499    -69.621    -18.827   -220.893     70.604    -71.741
      4.300     25.370    -60.417    -25.155   -241.672    113.491    -54.821
      4.400      0.726    -46.138    -28.973   -251.215    172.076    -21.535
      4.500    -23.012    -25.656    -28.229   -223.553    237.574     36.399
      4.600    -41.311     -0.624    -21.567   -142.412    263.069     96.852
      4.700    -51.422     24.371    -10.530    -59.816    236.824    123.886
      4.800    -54.529     45.934      1.999     -2.314    194.428    126.686
      4.900    -52.877     63.261     14.223     35.335    152.127    117.801
      5.000    -48.091     76.526     25.354     60.394    113.164    104.820
      5.100    -41.208     86.058     35.089     77.266     77.477     89.885
      5.200    -32.925     92.153     43.273     88.388     44.427     73.792
      5.300    -23.750     95.043     49.803     95.123     13.378     56.804
      5.400    -14.081     94.901     54.591     98.244    -16.221     38.947
      5.500     -4.261     91.845     57.542     98.174    -44.898     20.084
      5.600      5.399     85.938     58.540     95.018    -73.259     -0.131
